iter	Logloss
0	0.57857862
1	0.4856338677
2	0.4105016247
3	0.3496679969
4	0.3014726698
5	0.261583803
6	0.2268916315
7	0.2002063508
8	0.1780574996
9	0.1596231257
10	0.1441140238
11	0.1312544504
12	0.1196622838
13	0.1094342602
14	0.1005527
15	0.09412236976
16	0.08868378613
17	0.08424184885
18	0.08022937049
19	0.07636716188
20	0.07347682959
21	0.07062712936
22	0.06845941326
23	0.06672976735
24	0.06410721298
25	0.06158317734
26	0.05936990393
27	0.05746007874
28	0.05579850925
29	0.05387767223
30	0.05273466815
31	0.05166707646
32	0.05066013059
33	0.04980789812
34	0.04899283748
35	0.04834414737
36	0.04782631714
37	0.04734520069
38	0.04685108713
39	0.04643246006
40	0.04609864548
41	0.04566126482
42	0.04534459501
43	0.04507958771
44	0.04478343022
45	0.04441441088
46	0.04414451134
47	0.04394363038
48	0.04372516988
49	0.04353523167
50	0.04336709031
51	0.04319634688
52	0.04301892846
53	0.04277260576
54	0.04258676358
55	0.04245522605
56	0.0423640585
57	0.04226236737
58	0.04212403526
59	0.04199651888
60	0.04191465061
61	0.04180826388
62	0.04172924873
63	0.04164213472
64	0.04156201475
65	0.04150641514
66	0.04143307405
67	0.04136971407
68	0.04120198567
69	0.04115218969
70	0.04095194539
71	0.04088642924
72	0.04081736161
73	0.04076056812
74	0.04071782903
75	0.04067049111
76	0.04059648923
77	0.04048888624
78	0.0404493849
79	0.04041509299
80	0.0403523688
81	0.04032761327
82	0.04030171695
83	0.04027100693
84	0.04020453341
85	0.04015761607
86	0.04009045648
87	0.04002750465
88	0.03998598813
89	0.03993697126
90	0.03984373669
91	0.03976313807
92	0.03973256077
93	0.03968983784
94	0.03961039937
95	0.03955785132
96	0.03953215145
97	0.03950010559
98	0.03945885138
99	0.03940681678
100	0.03937748375
101	0.03931362462
102	0.03922395692
103	0.03918996826
104	0.03918892615
105	0.03912168756
106	0.03908257835
107	0.03903358684
108	0.03899611921
109	0.03891824702
110	0.03882717008
111	0.03878969629
112	0.0387693339
113	0.03868891419
114	0.0386314204
115	0.03859477449
116	0.03855047123
117	0.03851779532
118	0.03847190852
119	0.03842753943
120	0.03836135234
121	0.03832653681
122	0.0382979271
123	0.0382863023
124	0.03825142984
125	0.03823932876
126	0.03818586274
127	0.03817293347
128	0.03815031146
129	0.03812445964
130	0.03810752662
131	0.03806061242
132	0.03803850409
133	0.03802624656
134	0.03798964699
135	0.03798911843
136	0.03794673173
137	0.03792502561
138	0.03789908901
139	0.03788499523
140	0.03788440205
141	0.0378581985
142	0.0378517562
143	0.03783224977
144	0.03780331221
145	0.03777648407
146	0.03775936774
147	0.03770896763
148	0.03767357859
149	0.03765407044
150	0.03760650034
151	0.0375885866
152	0.03757513964
153	0.037563042
154	0.03755588352
155	0.0375280739
156	0.03749004793
157	0.03745724729
158	0.037411967
159	0.03740701149
160	0.03738521612
161	0.03737781264
162	0.03736937077
163	0.03734429684
164	0.03733924509
165	0.03728822766
166	0.03726047111
167	0.03724389825
168	0.03722869587
169	0.03720947314
170	0.03719042321
171	0.03718328364
172	0.0371805591
173	0.03716392958
174	0.037146693
175	0.03712479921
176	0.03711805666
177	0.03709009918
178	0.03708155354
179	0.03706627436
180	0.0370175214
181	0.03701694145
182	0.037009237
183	0.0369959479
184	0.03696737502
185	0.03694857494
186	0.03690781539
187	0.03688981913
188	0.03683644916
189	0.0368217647
190	0.03680649223
191	0.03678132453
192	0.03677023926
193	0.03675803111
194	0.03674699143
195	0.03672792802
196	0.03671940829
197	0.03670704307
198	0.03666540697
199	0.03665359034
200	0.03664140058
201	0.03663521063
202	0.03662364586
203	0.03660507602
204	0.03658496013
205	0.03657353113
206	0.03656194058
207	0.03653736079
208	0.03651376574
209	0.03650506194
210	0.03648017401
211	0.03647167602
212	0.03645555827
213	0.036436409
214	0.03641402409
215	0.03640589399
216	0.03639157606
217	0.03636252258
218	0.03633661041
219	0.03628254411
220	0.03626182337
221	0.03623766569
222	0.03622666595
223	0.03621487144
224	0.03619084079
225	0.03619058499
226	0.03616362951
227	0.03615919
228	0.0361517621
229	0.03614093353
230	0.03613175855
231	0.03611433659
232	0.03608045951
233	0.03606587077
234	0.03605654138
235	0.03603634012
236	0.03602793509
237	0.03601577639
238	0.03600859644
239	0.03599840044
240	0.03598699273
241	0.03597003429
242	0.03596614104
243	0.03595623103
244	0.03594036639
245	0.03592628007
246	0.03589507221
247	0.03588016961
248	0.03587114889
249	0.03586767891
250	0.03586239781
251	0.03585518957
252	0.03584377468
253	0.03583541568
254	0.03582193488
255	0.03581400648
256	0.03579620159
257	0.03579213802
258	0.03577629111
259	0.03575929298
260	0.03573654925
261	0.03572781263
262	0.03572002849
263	0.03571550186
264	0.03571437748
265	0.03570711351
266	0.03568585229
267	0.03567898239
268	0.03565095119
269	0.03564741726
270	0.03564174645
271	0.03563443461
272	0.0356150862
273	0.03560098225
274	0.03559105704
275	0.03557756862
276	0.03555856528
277	0.03554874652
278	0.03552688857
279	0.03551699348
280	0.03550429751
281	0.03548327775
282	0.03546390296
283	0.0354205945
284	0.03541357246
285	0.03535074869
286	0.03530930859
287	0.03529603742
288	0.03528994458
289	0.03528425364
290	0.03526757398
291	0.03525216986
292	0.03525159192
293	0.03519345545
294	0.03516552028
295	0.03515223498
296	0.03514016566
297	0.03512294444
298	0.03511493855
299	0.03510681646
300	0.03510362317
301	0.03509212081
302	0.03507843248
303	0.03506843075
304	0.03503925031
305	0.03503841028
306	0.03503171613
307	0.03503036948
308	0.03499089642
309	0.03498960376
310	0.03498210424
311	0.03497231631
312	0.03496542782
313	0.03491661919
314	0.03488147704
315	0.03486201654
316	0.03484898369
317	0.03482306063
318	0.03481958468
319	0.03480769779
320	0.03479578206
321	0.03475236538
322	0.03473656007
323	0.03473100238
324	0.03472599689
325	0.03468988785
326	0.0346782432
327	0.03464656138
328	0.03462218796
329	0.03461186317
330	0.03460269711
331	0.03459910436
332	0.03457588611
333	0.03453695973
334	0.03452755281
335	0.03451003803
336	0.03447306491
337	0.03443967523
338	0.03442168584
339	0.0344207371
340	0.03440981702
341	0.03440351752
342	0.0343997109
343	0.03438740059
344	0.03435930243
345	0.03435397616
346	0.03434870848
